status,type,approved,lat,lng
ACTIVE,Dumbwaiter,20041129,40.78117,-73.97647
ACTIVE,Dumbwaiter,20050104,40.73714,-73.98894
WK IN PROG,Dumbwaiter,,40.76328,-73.9701
ACTIVE,Dumbwaiter,20050603,40.77845,-73.9828
ACTIVE,Dumbwaiter,20060417,40.72555,-73.99614
ACTIVE,Dumbwaiter,20111230,40.76983,-73.96715
ACTIVE,Dumbwaiter,20050214,40.71515,-73.99771
ACTIVE,Dumbwaiter,20050214,40.71515,-73.99771
ACTIVE,Dumbwaiter,20050208,40.76367,-73.97636
ACTIVE,Dumbwaiter,20050211,40.74522,-73.9972
ACTIVE,Dumbwaiter,20070817,40.77303,-73.96372
ACTIVE,Dumbwaiter,20050209,40.75715,-73.98464
ACTIVE,Dumbwaiter,20050429,40.70782,-74.01349
ACTIVE,Dumbwaiter,20120928,40.77812,-73.95976
ACTIVE,Dumbwaiter,20050823,40.75348,-73.98006
ACTIVE,Dumbwaiter,20100908,40.81772,-73.94407
ACTIVE,Dumbwaiter,20050520,40.71386,-73.99487
ACTIVE,Dumbwaiter,20050713,40.72123,-73.99328
ACTIVE,Dumbwaiter,20051025,40.76052,-73.97279
ACTIVE,Dumbwaiter,20050712,40.74811,-73.98721
ACTIVE,Dumbwaiter,20050712,40.74811,-73.98721
NO JURIST,Dumbwaiter,20110602,40.75572,-73.98158
ACTIVE,Dumbwaiter,20060110,40.78716,-73.95552
ACTIVE,Dumbwaiter,20050916,40.84717,-73.93853
ACTIVE,Dumbwaiter,20050927,40.74462,-74.00506
ACTIVE,Dumbwaiter,20051024,40.73779,-73.99942
ACTIVE,Dumbwaiter,20050913,40.71797,-73.9925
ACTIVE,Dumbwaiter,20051101,40.76221,-73.96873
ACTIVE,Dumbwaiter,20060705,40.76656,-73.98361
ACTIVE,Dumbwaiter,20051011,40.71661,-74.00759
ACTIVE,Dumbwaiter,20051024,40.73172,-73.9779
ACTIVE,Dumbwaiter,20051128,40.74633,-73.9826
ACTIVE,Dumbwaiter,20061120,40.78818,-73.97353
ACTIVE,Dumbwaiter,20051114,40.76235,-73.97183
ACTIVE,Dumbwaiter,20060109,40.72935,-73.98884
ACTIVE,Dumbwaiter,20070124,40.77024,-73.96719
ACTIVE,Dumbwaiter,20060214,40.75283,-73.97473
ACTIVE,Dumbwaiter,20051227,40.76111,-73.96648
ACTIVE,Dumbwaiter,20060110,40.73341,-73.99283
DISMANTLED,Dumbwaiter,20060103,40.73455,-74.00201
ACTIVE,Dumbwaiter,20051213,40.75361,-73.99192
ACTIVE,Dumbwaiter,20060109,40.76303,-73.97353
ACTIVE,Dumbwaiter,20060109,40.75252,-73.96779
ACTIVE,Dumbwaiter,20060111,40.75252,-73.96779
ACTIVE,Dumbwaiter,20060203,40.71339,-73.99478
ACTIVE,Dumbwaiter,20060821,40.74108,-74.00455
ACTIVE,Dumbwaiter,20061212,40.71915,-74.00997
ACTIVE,Dumbwaiter,20060315,40.75212,-73.99256
ACTIVE,Dumbwaiter,20070508,40.7326,-73.99296
ACTIVE,Dumbwaiter,20060301,40.714,-73.99833
ACTIVE,Dumbwaiter,20070402,40.76551,-73.96493
WK IN PROG,Dumbwaiter,,40.76035,-73.97432
ACTIVE,Dumbwaiter,20061221,40.73957,-73.99015
ACTIVE,Dumbwaiter,19961210,40.74402,-73.99473
ACTIVE,Dumbwaiter,20060815,40.81463,-73.94099
ACTIVE,Dumbwaiter,20060605,40.75807,-73.98485
ACTIVE,Dumbwaiter,20060912,40.75236,-73.99123
ACTIVE,Dumbwaiter,20070523,40.75795,-73.97492
ACTIVE,Dumbwaiter,20060911,40.73875,-73.97534
ACTIVE,Dumbwaiter,20060911,40.73875,-73.97534
ACTIVE,Dumbwaiter,20060911,40.73875,-73.97534
ACTIVE,Dumbwaiter,20060911,40.73875,-73.97534
ACTIVE,Dumbwaiter,20060816,40.76054,-73.981
WK IN PROG,Dumbwaiter,,40.73255,-73.99091
ACTIVE,Dumbwaiter,20070314,40.79833,-73.96141
ACTIVE,Dumbwaiter,20060925,40.7932,-73.9714
ACTIVE,Dumbwaiter,20061208,40.80862,-73.94822
ACTIVE,Dumbwaiter,20061103,40.76128,-73.97674
ACTIVE,Dumbwaiter,20070405,40.75987,-73.98679
ACTIVE,Dumbwaiter,20061218,40.76386,-73.96727
ACTIVE,Dumbwaiter,20061213,40.76287,-73.97447
ACTIVE,Dumbwaiter,20070731,40.76922,-73.96402
ACTIVE,Dumbwaiter,20070108,40.71736,-73.99715
ACTIVE,Dumbwaiter,20070108,40.71736,-73.99715
ACTIVE,Dumbwaiter,20070807,40.72592,-74.0001
ACTIVE,Dumbwaiter,20070409,40.72146,-74.00074
ACTIVE,Dumbwaiter,20061205,40.78383,-73.95542
ACTIVE,Dumbwaiter,20061207,40.7959,-73.97206
ACTIVE,Dumbwaiter,20070320,40.73591,-74.00652
ACTIVE,Dumbwaiter,20070720,40.72291,-73.99798
ACTIVE,Dumbwaiter,20070706,40.73213,-74.00388
ACTIVE,Dumbwaiter,20070823,40.7268,-74.00057
ACTIVE,Dumbwaiter,20070914,40.70698,-74.0035
ACTIVE,Dumbwaiter,20070507,40.73442,-74.00971
ACTIVE,Dumbwaiter,,40.7174,-73.9977
ACTIVE,Dumbwaiter,20071025,40.7455,-74.00375
ACTIVE,Dumbwaiter,20070802,40.72436,-74.0002
ACTIVE,Dumbwaiter,20070913,40.75593,-73.98972
ACTIVE,Dumbwaiter,20080915,40.76907,-73.96364
ACTIVE,Dumbwaiter,20070926,40.75749,-73.97756
ACTIVE,Dumbwaiter,20071115,40.73952,-74.00124
ACTIVE,Dumbwaiter,20071115,40.73952,-74.00124
ACTIVE,Dumbwaiter,20070829,40.76588,-73.97005
ACTIVE,Dumbwaiter,20080610,40.77847,-73.97586
ACTIVE,Dumbwaiter,20070827,40.76294,-73.96929
ACTIVE,Dumbwaiter,20080318,40.77027,-73.96336
ACTIVE,Dumbwaiter,20081223,40.75907,-73.98371
ACTIVE,Dumbwaiter,20080414,40.76571,-73.97017
ACTIVE,Dumbwaiter,20070914,40.7063,-74.01023
ACTIVE,Dumbwaiter,20071030,40.75621,-73.96721
ACTIVE,Dumbwaiter,20071001,40.77807,-73.97961
ACTIVE,Dumbwaiter,20071001,40.77807,-73.97961
ACTIVE,Dumbwaiter,20071031,40.70521,-74.00853
ACTIVE,Dumbwaiter,20080312,40.73454,-73.99186
ACTIVE,Dumbwaiter,20070917,40.71397,-73.99599
ACTIVE,Dumbwaiter,20071123,40.73092,-73.99017
ACTIVE,Dumbwaiter,20080103,40.75157,-73.97172
ACTIVE,Dumbwaiter,20071129,40.7658,-73.96947
ACTIVE,Dumbwaiter,20080125,40.76231,-73.97389
ACTIVE,Dumbwaiter,20080118,40.76231,-73.97389
ACTIVE,Dumbwaiter,20071113,40.77798,-73.97863
NO JURIST,Dumbwaiter,20080610,40.73352,-74.00089
ACTIVE,Dumbwaiter,20090714,40.78162,-73.98423
ACTIVE,Dumbwaiter,20080402,40.75708,-73.97898
ACTIVE,Dumbwaiter,20080402,40.75708,-73.97898
ACTIVE,Dumbwaiter,20080917,40.77847,-73.97662
DISMANTLED,Dumbwaiter,20150319,40.72501,-73.99886
ACTIVE,Dumbwaiter,20080326,40.75723,-73.97702
ACTIVE,Dumbwaiter,20080215,40.72242,-74.00998
ACTIVE,Dumbwaiter,20080429,40.76032,-73.98978
ACTIVE,Dumbwaiter,20080603,40.75927,-73.97566
ACTIVE,Dumbwaiter,20080415,40.76295,-73.9774
ACTIVE,Dumbwaiter,20090814,40.77207,-73.9646
ACTIVE,Dumbwaiter,20080714,40.7803,-73.98693
ACTIVE,Dumbwaiter,20080819,40.78249,-73.96555
ACTIVE,Dumbwaiter,20080926,40.78919,-73.9495
ACTIVE,Dumbwaiter,20080603,40.76735,-73.96928
ACTIVE,Dumbwaiter,20100709,40.73725,-74.00942
ACTIVE,Dumbwaiter,20080619,40.72699,-74.00612
ACTIVE,Dumbwaiter,20090416,40.7399,-73.99277
ACTIVE,Dumbwaiter,20081014,40.73721,-73.99496
ACTIVE,Dumbwaiter,20080918,40.76509,-73.97168
ACTIVE,Dumbwaiter,20090708,40.77028,-73.96728
NO JURIST,Dumbwaiter,20090602,40.74542,-74.00026
ACTIVE,Dumbwaiter,20080814,40.7616,-73.96893
ACTIVE,Dumbwaiter,20080731,40.75598,-73.97599
ACTIVE,Dumbwaiter,20090123,40.76445,-73.95414
ACTIVE,Dumbwaiter,20080925,40.76638,-73.96968
ACTIVE,Dumbwaiter,20081230,40.75438,-73.99409
ACTIVE,Dumbwaiter,20081211,40.75486,-73.98345
ACTIVE,Dumbwaiter,20081117,40.76657,-73.96568
ACTIVE,Dumbwaiter,20081118,40.76657,-73.96568
ACTIVE,Dumbwaiter,20090130,40.76598,-73.96409
ACTIVE,Dumbwaiter,20090203,40.75039,-73.98658
ACTIVE,Dumbwaiter,20081215,40.7622,-73.96717
ACTIVE,Dumbwaiter,20090218,40.76176,-73.97382
ACTIVE,Dumbwaiter,20100105,40.76337,-73.98944
ACTIVE,Dumbwaiter,20090206,40.76076,-73.97513
ACTIVE,Dumbwaiter,20090218,40.76176,-73.97382
WK IN PROG,Dumbwaiter,,40.71528,-74.00796
ACTIVE,Dumbwaiter,20090323,40.769,-73.96622
ACTIVE,Dumbwaiter,20090227,40.78974,-73.97918
ACTIVE,Dumbwaiter,20090410,40.77854,-73.98071
ACTIVE,Dumbwaiter,20090312,40.81642,-73.95116
ACTIVE,Dumbwaiter,20090520,40.74671,-73.97196
ACTIVE,Dumbwaiter,20091201,40.80353,-73.93887
ACTIVE,Dumbwaiter,20090622,40.77532,-73.96326
DISMANTLED,Dumbwaiter,20121205,40.76457,-73.99599
ACTIVE,Dumbwaiter,20090505,40.84844,-73.93478
ACTIVE,Dumbwaiter,20090518,40.72133,-73.99976
